EMPLOYEE_ID;ITEM_ID
3GC0BJS45689V44H;3GC0BJS45UAFVD4I
3GC0BJS46J1YUO4J;3GC0BJS47AGGQW4K
3GC0BJS47YPF7I4L;3GC0BJS48MYF7B4M
3GC0BJS49APLDM4N;3GC0BJS49ZUE2F4O
3GC0BJS4ALI9KJ4P;3GC0BJS4BA1LRK4Q
3GC0BJS5D76P9J4R;3GC0BJS5DV5V0G4S
3GC0BJS5F17N5Z4T;3GC0BJS5FNMUFB4U
3GC0BJS5GEWEWK4V;3GC0BJS5H0DQ4I4W
3GC0BJS5HM1ZXE4X;3GC0BJS5IEE8M94Y
3GC0BJS5J2J0V84Z;3GC0BJS5JO7FYZ50
3GC0BJS5KD6W7O51;3GC0BJS5KYBZX852
3GC0BJS5LLXR0K53;3GC0BJS5MEDDVK54
3GC0BJS5N3NMCK55;3GC0BJS5NR9W2Z56
3GC0BJS5OD9P0657;3GC0BJS5P6SMME58
3GC0BJS5PS5S3S59;3GC0BJS5QZHDKF5A
3GC0BJS5RTUYCC5B;3GC0BJS5SSQSCC5C
3GC0BJS5TFW6RH5D;3GC0BJS5U1EKTU5E
3GC0BJS5UQF9PF5F;3GC0BJS5VCSTV05G
3GC0BJS5VYCW1W5H;3GC0BJS5WQGI7H5I
3GC0BJS5XCRQAY5J;3GC0BJS6XZ3H4N5K
